20	5.84
20.36	5.83
20.73	5.82
21.11	5.82
21.5	5.81
21.89	5.8
22.29	5.8
22.69	5.79
23.1	5.78
23.52	5.77
23.95	5.76
24.39	5.75
24.83	5.74
25.28	5.73
25.74	5.72
26.21	5.71
26.69	5.7
27.18	5.69
27.67	5.68
28.17	5.67
28.69	5.65
29.21	5.64
29.74	5.63
30.28	5.61
30.83	5.6
31.39	5.58
31.97	5.56
32.55	5.55
33.14	5.53
33.74	5.51
34.36	5.49
34.98	5.47
35.62	5.45
36.27	5.42
36.93	5.4
37.6	5.38
38.28	5.35
38.98	5.33
39.69	5.3
40.41	5.27
41.15	5.24
41.9	5.21
42.66	5.17
43.44	5.14
44.23	5.11
45.03	5.07
45.85	5.03
46.68	4.99
47.53	4.95
48.4	4.9
49.28	4.86
50.18	4.81
51.09	4.76
52.02	4.71
52.97	4.66
53.93	4.6
54.91	4.55
55.91	4.49
56.93	4.43
57.97	4.36
59.02	4.3
60.09	4.23
61.19	4.16
62.3	4.08
63.44	4.01
64.59	3.93
65.77	3.85
66.96	3.76
68.18	3.68
69.42	3.59
70.69	3.5
71.97	3.4
73.28	3.31
74.62	3.21
75.97	3.1
77.36	3
78.76	2.89
80.2	2.78
81.66	2.67
83.14	2.55
84.66	2.43
86.2	2.31
87.77	2.19
89.36	2.06
90.99	1.93
92.65	1.8
94.33	1.67
96.05	1.54
97.8	1.41
99.58	1.27
101.39	1.14
103.23	1
105.11	0.87
107.03	0.74
108.97	0.61
110.96	0.47
112.98	0.34
115.03	0.21
117.13	0.08
119.26	-0.06
121.43	-0.2
123.64	-0.33
125.89	-0.47
128.18	-0.61
130.51	-0.74
132.89	-0.87
135.31	-1
137.77	-1.13
140.28	-1.26
142.83	-1.38
145.43	-1.5
148.07	-1.62
150.77	-1.74
153.51	-1.86
156.31	-1.97
159.15	-2.08
162.05	-2.18
165	-2.28
168	-2.38
171.06	-2.48
174.17	-2.57
177.34	-2.66
180.57	-2.75
183.86	-2.84
187.2	-2.92
190.61	-3
194.08	-3.08
197.61	-3.16
201.21	-3.23
204.87	-3.3
208.6	-3.37
212.39	-3.44
216.26	-3.5
220.19	-3.57
224.2	-3.63
228.28	-3.68
232.44	-3.74
236.67	-3.79
240.97	-3.84
245.36	-3.88
249.82	-3.93
254.37	-3.97
259	-4.01
263.71	-4.05
268.51	-4.08
273.4	-4.11
278.38	-4.15
283.44	-4.18
288.6	-4.21
293.85	-4.24
299.2	-4.27
304.65	-4.3
310.19	-4.33
315.84	-4.36
321.59	-4.39
327.44	-4.42
333.4	-4.45
339.47	-4.49
345.64	-4.52
351.93	-4.55
358.34	-4.58
364.86	-4.6
371.5	-4.63
378.26	-4.65
385.15	-4.66
392.16	-4.68
399.29	-4.68
406.56	-4.68
413.96	-4.68
421.49	-4.67
429.16	-4.65
436.97	-4.63
444.93	-4.61
453.02	-4.58
461.27	-4.56
469.66	-4.54
478.21	-4.52
486.91	-4.5
495.78	-4.48
504.8	-4.47
513.99	-4.46
523.34	-4.46
